33.0,13.0,46.0,60.0,65.0,37.0,17.0,42.0,39.0,13.0
112.0,133.0,102.0,122.0,118.0,117.0,116.0,233.0,96.0,195.0
114.0,109.0,133.0,83.0,204.0,98.0,72.0,81.0,57.0,99.0
72.0,179.0,52.0,44.0,153.0,102.0,96.0,95.0,66.0,148.0
104.0,95.0,50.0,46.0,32.0,72.0,33.0,34.0,8.0,14.0
81.0,44.0,73.0,105.0,35.0,70.0,74.0,113.0,37.0,63.0
68.0,62.0,90.0,91.0,70.0,58.0,81.0,73.0,86.0,48.0
331.0,358.0,367.0,391.0,204.0,265.0,404.0,269.0,502.0,331.0
38.0,99.0,80.0,38.0,71.0,51.0,51.0,43.0,68.0,60.0
27.0,43.0,39.0,30.0,30.0,22.0,14.0,45.0,15.0,38.0
